Date,Netflix
2/7/21,0
2/8/21,118
2/9/21,85
2/10/21,131
2/11/21,0
2/12/21,175
2/13/21,115
2/14/21,132
2/15/21,0
2/16/21,0
2/17/21,44
2/18/21,44
2/19/21,307
2/20/21,87
2/21/21,0
2/22/21,0
2/23/21,0
2/24/21,0
2/25/21,0
2/26/21,0
2/27/21,219
2/28/21,0
3/1/21,0
3/2/21,90
3/3/21,0
3/4/21,0
3/5/21,0
3/6/21,262
3/7/21,54
3/8/21,0
3/9/21,55
3/10/21,110
3/11/21,57
3/12/21,0
3/13/21,58
3/14/21,33
3/15/21,0
3/16/21,0
3/17/21,0
3/18/21,0
3/19/21,0
3/20/21,0
3/21/21,0
3/22/21,0
3/23/21,0
3/24/21,0
3/25/21,0
3/26/21,0
3/27/21,0
3/28/21,0
