Date,High Temp,Rain (Y/N),Social,Entertainment,Shopping and Food,Travel,Creativity,Productivity Finance
2/7/21,68,N ,93,49,15,0,13,0
2/8/21,59,N ,107,15,6,0,2,0
2/9/21,60,N ,160,6,23,0,7,0
2/10/21,61,N ,86,36,0,0,34,0
2/11/21,59,N ,252,0,0,0,42,0
2/12/21,62,Y ,223,0,38,0,58,6
2/13/21,63,N ,178,31,0,0,32,28
2/14/21,58,Y ,182,20,0,0,26,4
2/15/21,61,Y ,96,56,12,0,0,0
2/16/21,60,Y ,125,50,0,0,0,0
2/17/21,67,N ,82,59,11,0,0,0
2/18/21,65,N ,117,47,0,0,15,0
2/19/21,60,N ,195,17,0,0,48,18
2/20/21,63,Y ,216,18,0,0,30,0
2/21/21,65,N ,232,0,7,0,0,0
2/22/21,76,N ,126,54,13,0,51,0
2/23/21,84,N ,182,5,17,0,21,8
2/24/21,76,N ,102,46,0,0,2,0
2/25/21,66,N ,141,2,0,0,18,7
2/26/21,64,N ,126,35,11,0,27,0
2/27/21,64,N ,193,0,34,0,0,0
2/28/21,72,N ,102,0,5,0,0,0
3/1/21,69,N ,93,57,0,0,45,0
3/2/21,65,N ,201,0,0,0,0,0
3/3/21,64,N ,174,4,42,0,0,6
3/4/21,55,N ,283,6,0,0,43,0
3/5/21,67,N ,83,49,0,0,0,3
3/6/21,61,Y ,107,23,0,0,0,0
3/7/21,62,N ,81,44,0,23,0,0
3/8/21,60,N ,234,17,0,0,19,0
3/9/21,61,N ,158,58,22,0,0,0
3/10/21,56,Y ,142,34,0,0,36,0
3/11/21,59,Y ,272,0,0,0,0,13
3/12/21,64,Y ,171,23,0,0,54,0
3/13/21,59,N ,212,0,10,0,0,0
3/14/21,60,N ,163,23,0,0,45,0
3/15/21,56,Y ,117,45,0,0,48,0
3/16/21,58,N ,129,52,7,0,0,0
3/17/21,58,N ,185,52,0,0,0,0
3/18/21,58,Y ,61,0,15,0,6,0
3/19/21,62,Y ,133,0,7,0,33,0
3/20/21,59,N ,83,61,6,0,0,0
3/21/21,63,N ,111,0,0,0,6,5
3/22/21,62,N ,109,0,9,0,0,13
3/23/21,68,N ,163,17,30,0,0,0
3/24/21,65,N ,164,0,30,0,0,22
3/25/21,61,N ,229,0,26,0,0,19
3/26/21,66,N ,156,0,29,0,0,8
3/27/21,72,N ,145,44,21,0,0,0
3/28/21,70,N ,127,0,16,0,0,0
